Seconds,Test,Run,Point,ID_rcs,at001,me2615,me2616,me2645,me2655,me1800,me3058,ads_dewpt,vr2615,vr2616,vr2645,vr2655,vr1800,vr3058,ptpsi_rcs,pt_fr1,ttemp,ps_fr1,x3mln2,mach_rcs,te2693,pitch,qinfft
3.001172,215,144,2688,4,-179.922333,-70.678749,-53.055626,-92.048119,56.451874,-76.371246,-66.398125,-84,5.445027,18.745583,1.734928,17853.87695,4.384068,7.406279,43.212387,43.230431,-181.387955,26.243614,316.89035,0.869041,-169.247345,2.201556,2010.100464
3.100177,215,144,2688,4,-179.74649,-70.706879,-53.049999,-92.042488,56.451874,-76.365623,-66.386871,-84,5.445027,18.745583,1.734928,17853.87695,4.384068,7.406279,43.210129,43.212387,-181.714386,26.236654,316.449219,0.86821,-169.2677,2.227174,2007.904419
3.200183,215,144,2688,4,-179.725601,-70.684372,-53.044376,-92.059364,56.4575,-76.343124,-66.386871,-84,5.444741,18.75807,1.732856,17853.87695,4.408275,7.387934,43.201107,43.219154,-181.170013,26.243614,316.823792,0.867982,-169.2677,2.227174,2006.937378
3.300189,215,144,2688,4,-179.741287,-70.690002,-53.0275,-92.019989,56.446251,-76.365623,-66.386871,-84,5.444741,18.75807,1.732856,17853.87695,4.408275,7.387934,43.223663,43.219154,-181.168289,26.245934,318.554321,0.869037,-169.2677,2.240523,2010.624268
3.400194,215,144,2688,4,-179.662949,-70.695625,-53.010624,-92.031242,56.406876,-76.354378,-66.409378,-84,5.444741,18.75807,1.732856,17853.87695,4.408275,7.387934,43.223663,43.219154,-181.168289,26.248255,315.478668,0.869037,-169.20665,2.253508,2010.624268
3.5002,215,144,2688,4,-179.504623,-70.684372,-53.049999,-92.014366,56.4575,-76.360001,-66.431877,-84,5.443908,18.728275,1.732804,17879.32031,4.406409,7.404834,43.221409,43.212387,-181.319901,26.262175,317.389587,0.868592,-169.20665,2.282368,2009.400146
3.600206,215,144,2688,4,-179.516785,-70.695625,-53.021873,-92.031242,56.46875,-76.371246,-66.398125,-84,5.443908,18.728275,1.732804,17879.32031,4.406409,7.404834,43.207874,43.232685,-181.12915,26.262175,320.445953,0.867548,-169.22699,2.282368,2006.165161
3.700212,215,144,2688,4,-179.643814,-70.695625,-53.0275,-92.031242,56.418125,-76.354378,-66.443123,-84,5.443066,18.753611,1.735957,17875.07617,4.406409,7.403675,43.207874,43.221409,-181.12915,26.264494,318.853638,0.867548,-169.22699,2.295366,2006.165161
3.800217,215,144,2688,4,-179.76738,-70.695625,-53.03875,-92.036865,56.418125,-76.365623,-66.443123,-84,5.443066,18.753611,1.735957,17875.07617,4.406409,7.403675,43.219154,43.212387,-181.212585,26.257534,320.752533,0.868251,-169.2677,2.309791,2008.447632
3.900223,215,144,2688,4,-179.880539,-70.695625,-53.049999,-92.019989,56.37875,-76.427498,-66.398125,-84,5.443066,18.753611,1.735957,17875.07617,4.406409,7.403675,43.230431,43.223663,-181.233047,26.255215,320.165955,0.868757,-169.247345,2.309791,2010.236206
4.000229,215,144,2688,4,-179.922333,-70.695625,-53.03875,-92.031242,56.440624,-76.433128,-66.454376,-84,5.445863,18.754871,1.732893,17892.05078,4.404541,7.395453,43.219154,43.234943,-181.602386,26.257534,319.497192,0.868768,-169.247345,2.323502,2009.725342
4.20024,215,144,2688,4,-179.755188,-70.678749,-53.049999,-92.025612,56.389999,-76.416252,-66.398125,-84,5.445863,18.754871,1.732893,17892.05078,4.404541,7.395453,43.219154,43.223663,-181.27562,26.252893,318.475769,0.868674,-169.22699,2.376183,2009.502808
